City,Country,Latitude,Longitude,Temperature,Category
Aalborg,Denmark,57.03,9.92,7.52,Cool
Aberdeen,United Kingdom,57.17,-2.08,8.1,Cool
Abisko,Sweden,63.35,18.83,0.2,Cold
Adana,Turkey,36.99,35.32,18.67,Hot
Albacete,Spain,39,-1.87,12.62,Warm
Algeciras,Spain,36.13,-5.47,17.38,Hot
Amiens,France,49.9,2.3,10.17,Warm
Amsterdam,Netherlands,52.35,4.92,8.93,Cool
Ancona,Italy,43.6,13.5,13.52,Warm
Andorra,Andorra,42.5,1.52,9.6,Warm
Angers,France,47.48,-0.53,10.98,Warm
Ankara,Turkey,39.93,32.86,9.86,Warm
Antalya,Turkey,36.89,30.7,11.88,Warm
Arad,Romania,46.17,21.32,9.32,Warm
Athens,Greece,37.98,23.73,17.41,Hot
Augsburg,Germany,48.35,10.9,4.54,Cold
Bacau,Romania,46.58,26.92,7.51,Cool
Badajoz,Spain,38.88,-6.97,15.61,Hot
Baia Mare,Romania,47.66,23.58,8.87,Cool
Balti,Moldova,47.76,27.91,8.23,Cool
Barcelona,Spain,41.38,2.18,15.78,Hot
Bari,Italy,41.11,16.87,15.15,Hot
Basel,Switzerland,47.58,7.59,6.68,Cool
Batman,Turkey,37.89,41.14,14.16,Warm
Belfast,United Kingdom,54.6,-5.96,8.48,Cool
Belgrade,Serbia,44.82,20.47,9.85,Warm
Bergamo,Italy,45.7,9.67,9.12,Warm
Bergen,Norway,60.39,5.32,1.75,Cold
Berlin,Germany,52.52,13.4,8.72,Cool
Bialystok,Poland,53.15,23.17,6.07,Cool
Bielefeld,Germany,52.03,8.53,8.78,Cool
Bila Tserkva,Ukraine,49.77,30.13,6.98,Cool
Bilbao,Spain,43.25,-2.93,11.41,Warm
Birmingham,United Kingdom,52.47,-1.92,8.81,Cool
Blackpool,United Kingdom,53.83,-3.05,9.15,Warm
Bodo,Norway,67.25,14.4,4.5,Cold
Bologna,Italy,44.5,11.34,11.69,Warm
Bonn,Germany,50.72,7.08,8.63,Cool
Bordeaux,France,44.85,-0.6,11.87,Warm
Botosani,Romania,47.75,26.66,8.23,Cool
Bournemouth,United Kingdom,50.73,-1.9,9.97,Warm
Bradford,United Kingdom,53.8,-1.75,8.39,Cool
Braga,Portugal,41.55,-8.42,13.42,Warm
Braila,Romania,45.29,27.97,9.78,Warm
Bratislava,Slovakia,48.15,17.12,9.65,Warm
Bremen,Germany,53.08,8.8,8.14,Cool
Brest,France,48.39,-4.5,11.02,Warm
Brest,Belarus,52.1,23.7,6.73,Cool
Brno,Czech Republic,49.2,16.61,7.86,Cool
Brugge,Belgium,51.22,3.23,9.65,Warm
Bucharest,Romania,44.43,26.1,10.59,Warm
Budapest,Hungary,47.5,19.08,9.55,Warm
Burgas,Bulgaria,42.51,27.47,11.93,Warm
Burgos,Spain,42.35,-3.68,10.45,Warm
Bursa,Turkey,40.2,29.07,11.16,Warm
Bydgoszcz,Poland,53.12,18.01,7.14,Cool
Bytom,Poland,50.35,18.91,7.66,Cool
Caen,France,49.18,-0.35,9.96,Warm
Cambridge,United Kingdom,52.2,0.12,9.25,Warm
Cartagena,Spain,37.6,-0.98,17.32,Hot
Catania,Italy,37.5,15.08,15.04,Hot
Chemnitz,Germany,50.83,12.92,8.05,Cool
Cherkasy,Ukraine,49.43,32.07,7.19,Cool
Chernihiv,Ukraine,51.5,31.3,5.92,Cool
Chernivtsi,Ukraine,48.31,25.92,7.06,Cool
Chisinau,Moldova,47.01,28.86,8.6,Cool
Constanta,Romania,44.2,28.61,11.24,Warm
Cork,Ireland,51.9,-8.5,9.41,Warm
Cosenza,Italy,39.27,16.29,16.6,Hot
Craiova,Romania,44.33,23.83,10.51,Warm
Daugavpils,Latvia,55.88,26.51,5.38,Cool
Debrecen,Hungary,47.53,21.63,8.87,Cool
Denizli,Turkey,37.77,29.08,15.02,Hot
Dijon,France,47.33,5.03,8.69,Cool
Dublin,Ireland,53.33,-6.25,8.49,Cool
Dundee,United Kingdom,56.47,-3,6.4,Cool
Edinburgh,United Kingdom,55.95,-3.22,7.43,Cool
Edirne,Turkey,41.67,26.57,10.9,Warm
Elbasan,Albania,41.12,20.08,15.18,Hot
Elblag,Poland,54.19,19.4,6.68,Cool
Erfurt,Germany,50.97,11.03,7.4,Cool
Erzincan,Turkey,39.75,39.49,8.67,Cool
Erzurum,Turkey,39.92,41.29,5.17,Cool
Eskisehir,Turkey,39.79,30.53,11.11,Warm
Exeter,United Kingdom,50.7,-3.53,10.14,Warm
Foggia,Italy,41.46,15.56,13.83,Warm
Frankfurt,Germany,50.1,8.68,7.98,Cool
Freiburg,Germany,48,7.87,6.68,Cool
Galway,Ireland,53.27,-9.05,10,Warm
Gaziantep,Turkey,37.07,37.38,13.46,Warm
Geneva,Switzerland,46.21,6.14,8.4,Cool
Genoa,Italy,44.41,8.93,12.94,Warm
Glasgow,United Kingdom,55.87,-4.25,8.6,Cool
G”teborg,Sweden,57.75,12,5.76,Cool
Granada,Spain,37.16,-3.59,16.33,Hot
Graz,Austria,47.08,15.41,6.91,Cool
Grenoble,France,45.18,5.72,8.4,Cool
Groningen,Netherlands,53.22,6.58,8.71,Cool
Gyor,Hungary,47.7,17.63,9.65,Warm
Heidelberg,Germany,49.42,8.7,8.47,Cool
Helsinki,Finland,60.18,24.93,4.19,Cold
Horlivka,Ukraine,48.3,38.05,7.12,Cool
Hrodna,Belarus,53.68,23.83,6.07,Cool
Huelva,Spain,37.25,-6.93,17.09,Hot
